Housing ID,price,area,bedrooms,bathrooms,stories,mainroad,Mainroad1,guestroom,Guestroom1,basement,basement1,hotwaterheating,Hotwaterheating2,airconditioning,Airconditioning3,parking,prefarea,Prefarea1,furnishingstatus
Housing id -1,13300000,7420,4,2,3,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,furnished
Housing id -2,12250000,8960,4,4,4,yes,1,no,0,no,0,no,0,yes,1,3,no,0,furnished
Housing id -3,12250000,9960,3,2,2,yes,1,no,0,yes,1,no,0,no,0,2,yes,1,semi-furnished
Housing id -4,12215000,7500,4,2,2,yes,1,no,0,yes,1,no,0,yes,1,3,yes,1,furnished
Housing id -5,11410000,7420,4,1,2,yes,1,yes,1,yes,1,no,0,yes,1,2,no,0,furnished
Housing id -6,10850000,7500,3,3,1,yes,1,no,0,yes,1,no,0,yes,1,2,yes,1,semi-furnished
Housing id -7,10150000,8580,4,3,4,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,semi-furnished
Housing id -8,10150000,16200,5,3,2,yes,1,no,0,no,0,no,0,no,0,0,no,0,unfurnished
Housing id -9,9870000,8100,4,1,2,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,furnished
Housing id -10,9800000,5750,3,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,yes,1,unfurnished
Housing id -11,9800000,13200,3,1,2,yes,1,no,0,yes,1,no,0,yes,1,2,yes,1,furnished
Housing id -12,9681000,6000,4,3,2,yes,1,yes,1,yes,1,yes,1,no,0,2,no,0,semi-furnished
Housing id -13,9310000,6550,4,2,2,yes,1,no,0,no,0,no,0,yes,1,1,yes,1,semi-furnished
Housing id -14,9240000,3500,4,2,2,yes,1,no,0,no,0,yes,1,no,0,2,no,0,furnished
Housing id -15,9240000,7800,3,2,2,yes,1,no,0,no,0,no,0,no,0,0,yes,1,semi-furnished
Housing id -16,9100000,6000,4,1,2,yes,1,no,0,yes,1,no,0,no,0,2,no,0,semi-furnished
Housing id -17,9100000,6600,4,2,2,yes,1,yes,1,yes,1,no,0,yes,1,1,yes,1,unfurnished
Housing id -18,8960000,8500,3,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -19,8890000,4600,3,2,2,yes,1,yes,1,no,0,no,0,yes,1,2,no,0,furnished
Housing id -20,8855000,6420,3,2,2,yes,1,no,0,no,0,no,0,yes,1,1,yes,1,semi-furnished
Housing id -21,8750000,4320,3,1,2,yes,1,no,0,yes,1,yes,1,no,0,2,no,0,semi-furnished
Housing id -22,8680000,7155,3,2,1,yes,1,yes,1,yes,1,no,0,yes,1,2,no,0,unfurnished
